Name,MFG,Type,Rated_Torque_Nm,Peak_Torque_Nm,Weight_kg,OD_mm,Length_mm,Rated_Speed_rpm,Gear_Ratio,Voltage_V,Encoder,Brake,Integrated_Driver,Cost_USD,Cost_Flag,Notes
PH42-020-S300-R,ROBOTIS,cycloidal,5.1,,0.34,42,84,29.2,303.75,24,abs,no,yes,1897,listed,robotis.us $1897.39; Maxon coreless; continuous torque listed
PM42-010-S260-R,ROBOTIS,cycloidal,1.7,,0.27,42,72,26,257.019,24,abs,no,yes,1092,listed,robotis.us $1092.39
PM54-040-S250-R,ROBOTIS,cycloidal,3.9,,0.71,54,108,24.2,251.417,24,abs,no,yes,2058,listed,robotis.us $2058.39
PM54-060-S250-R,ROBOTIS,cycloidal,10.1,,0.855,54,126,28.3,251.417,24,abs,no,yes,2196,listed,ROBOTIS eManual continuous 10.1 Nm; robotis.us $2196.39
PH54-100-S500-R,ROBOTIS,cycloidal,25.3,,0.74,54,108,29.2,501.923,24,abs,no,yes,3289,listed,robotis.us $3288.89; Maxon BLDC
PH54-200-S500-R,ROBOTIS,cycloidal,44.7,,0.855,54,126,29,501.923,24,abs,no,yes,3542,listed,ROBOTIS eManual; Tribotix ~AUD 4739; robotis.us $3541.89
eRob 70F,ZeroErr,harmonic,,35,0.77,70,60.4,60,50,48,abs 19bit,optional,yes,1100,estimate,ZeroErr brochure; strain-wave module with integrated drive; Cost_USD estimate: below eRob 80I $1240; smaller 35 Nm
eRob 70I,ZeroErr,harmonic,10,70,0.82,70,71,30,100,48,dual abs 19bit,optional,yes,1180,estimate,ZeroErr site v5 without brake; 14-100 ratio; rated 10 Nm peak 70 Nm; CANopen/EtherCAT; Cost_USD estimate: between eRob 70F and 80I $1240
eRob 80I,ZeroErr,harmonic,,143,1.03,80,64.2,60,100,48,dual abs,optional,yes,1240,listed,ZeroErr site; AIFITLAB ~$1240; upgraded compact I-series
eRob 90I,ZeroErr,harmonic,52,191,1.506,90,75.9,30,100,48,dual abs 19bit,optional,yes,1350,estimate,ZeroErr site v6 without brake; 20-100 ratio; Cost_USD estimate: between eRob 80I $1240 and 142I $1550
eRob 110I,ZeroErr,harmonic,,408,2.57,110,80.2,60,100,48,dual abs,optional,yes,1470,estimate,ZeroErr site; brochure also lists 2.68 kg; Cost_USD estimate: AIFITLAB-class listing ~$1470; near 142I
eRob 142I,ZeroErr,harmonic,,892,6.7,142,133.9,40,100,48,dual abs,optional,yes,1550,listed,ZeroErr brochure; AIFITLAB ~$1550
eRob 170I,ZeroErr,harmonic,,1180,9.5,170,144.9,40,,48,dual abs,optional,yes,1750,estimate,ZeroErr brochure; ratio not listed on the summary sheet; Cost_USD estimate: above eRob 142I $1550; 1180 Nm still Chinese harmonic
FHA-8C-100,Harmonic Drive,harmonic,4.8,,0.4,66,50,60,100,48,inc or abs,no,no,2800,estimate,"FHA-C Mini; incremental mass 0.40 kg absolute 0.50 kg; rated 4.8 Nm at 100:1; Cost_USD estimate: HD Mini; below Kinova KA-58 $3300, no integrated drive"
FHA-11C-100,Harmonic Drive,harmonic,11,,0.62,80,60,60,100,48,inc or abs,no,no,3500,estimate,FHA-C Mini; incremental 0.62 kg absolute 0.75 kg; Cost_USD estimate: HD Mini size 11; Kinova KA-58 analog
FHA-14C-100,Harmonic Drive,harmonic,28,,1.2,100,75,60,100,48,inc or abs,no,no,4500,estimate,FHA-C Mini; incremental 1.2 kg absolute 1.3 kg; Cost_USD estimate: HD Mini 28 Nm; below Kinova KA-75+ $6400
FHA-17C-100,Harmonic Drive,harmonic,,57,2.5,128,78,48,100,200,inc 2500ppr,optional,no,5500,estimate,FHA-C AC actuator; max torque at 100:1; 200VAC class; quote-only pricing; Cost_USD estimate: HD FHA-C AC; between Kinova and maxon HDT
FHA-25C-100,Harmonic Drive,harmonic,,230,4,155,90,45,100,200,inc 2500ppr,optional,no,7500,estimate,"FHA-C; max torque at 100:1; Cost_USD estimate: HD FHA-C 230 Nm; grey-market CN ads much lower, OEM quote class"
FHA-32C-100,Harmonic Drive,harmonic,,398,6.5,175,112,40,100,200,inc 2500ppr,optional,no,9500,estimate,FHA-C; max torque at 100:1; Cost_USD estimate: HD FHA-C 398 Nm
FHA-40C-100,Harmonic Drive,harmonic,,690,12,230,127,35,100,200,inc 2500ppr,optional,no,12500,estimate,FHA-C; max torque at 100:1; Cost_USD estimate: HD FHA-C 690 Nm; large AC hollow-shaft
SHA-20A-51,Harmonic Drive,harmonic,21,73,2,,,118,51,200,magnetic abs,optional,no,5000,estimate,SHA-SG 200VAC 51:1: cont 21 Nm max 73 Nm mass 2.0 kg (2.1 with brake); 48V integrated-drive SHA-IDT also offered; Cost_USD estimate: SHA-SG near maxon HDT 20-size
SHA-25A-101,Harmonic Drive,harmonic,57,204,,,108.5,38,101,48,dual abs 17bit,optional,yes,6500,estimate,SHA-IDT 48V integrated drive; max 204 Nm / cont 57 Nm at 101:1; brochure length ~108.5 mm; Cost_USD estimate: SHA-IDT 48V with drive; above FHA-17
SHA-32A-101,Harmonic Drive,harmonic,77,298,,,,25,101,48,dual abs 17bit,optional,yes,8000,estimate,SHA-IDT 48V integrated drive; max 298 Nm / cont 77 Nm at 101:1; Cost_USD estimate: SHA-IDT 48V; above FHA-25
SHA-25A-101-SG,Harmonic Drive,harmonic,81,204,2.95,114,109,55.4,101,200,magnetic abs 17bit,optional,no,7000,estimate,SHA-SG 200VAC; max 204 Nm cont 81 Nm at 101:1; mass 2.95 kg (3.1 with brake); Cost_USD estimate: SHA-SG 200VAC 204 Nm
SHA-32A-101-SG,Harmonic Drive,harmonic,178,433,5.9,146,125,47.5,101,200,magnetic abs 17bit,optional,no,9000,estimate,SHA-SG catalog; max 433 Nm cont 178 Nm at 101:1; mass 5.9 kg (6.2 with brake); Cost_USD estimate: SHA-SG 433 Nm
SHA-40A-101-SG,Harmonic Drive,harmonic,198,738,9.9,175,148,39.6,101,200,magnetic abs 17bit,optional,no,12000,estimate,SHA-SG/SHA-Y catalog; max 738 Nm at 101:1; mass 9.9 kg (10.7 with brake); Cost_USD estimate: SHA-SG 738 Nm
SHA-58A-101-SG,Harmonic Drive,harmonic,,2067,29.5,247,213,29.7,101,200,magnetic abs 17bit,optional,no,18000,estimate,SHA-SG catalog; max 2067 Nm at 101:1; mass 29.5 kg (32 with brake); Cost_USD estimate: SHA-SG 2 kNm class; industrial catalog
SHA-65A-101-SG,Harmonic Drive,harmonic,,2990,37.5,284,222,27.7,101,200,magnetic abs 17bit,optional,no,22000,estimate,SHA-SG catalog; max 2990 Nm at 101:1; mass 37.5 kg (40 with brake); Cost_USD estimate: SHA-SG 3 kNm class
LPA-20-101,Harmonic Drive,harmonic,16.9,57,1.4,92,66.1,29.7,101,48,dual abs 15/14bit,optional,yes,5500,estimate,LPA integrated drive; 48V CANopen/EtherCAT; max 57 Nm at 101:1; mounting ~92 mm; Cost_USD estimate: HD LPA with integrated drive; FHA-17 analog
HEJ 50-48-30,maxon,planetary,11,30,0.57,71.5,65,201,,48,14bit abs,no,yes,7500,user,maxon HEJ 50-48-30 datasheet; 21 rad/s at 48V (201 rpm); 26 rad/s at 60V; first samples not IP67; user $7500 HEJ base
HEJ 70-48-60,maxon,planetary,27,62,1.05,88,77,170,,48,14bit abs,no,yes,7500,user,maxon HEJ 70-48-60 datasheet; 17.8 rad/s at 48V (170 rpm); 22 rad/s at 60V; IP67 EtherCAT; user $7500 HEJ base
HDT DT38S-WGA14,maxon,harmonic,,19,0.9,74,73,85,,48,dual abs,optional,no,5000,user,maxon HPJ-DT / HDT; peak 12-19 Nm; specs at high-ratio end; user $5k 400Nm HDT base
HDT DT38M-WGU14,maxon,harmonic,,36,0.9,74,83,65,,48,dual abs,optional,no,5000,user,maxon HPJ-DT / HDT; peak 23-36 Nm; length preliminary; user $5k HDT base
HDT DT50S-WGA20,maxon,harmonic,,64,1.5,94,78,32,,48,dual abs,optional,no,5000,user,maxon HPJ-DT / HDT; peak 39-64 Nm; user $5k HDT base
HDT DT50M-WGU20,maxon,harmonic,,120,1.8,94,86,22,,48,dual abs,optional,no,5000,user,maxon HPJ-DT / HDT; peak 73-120 Nm; user $5k HDT base
HDT DT65S-WGA25,maxon,harmonic,,123,2.6,114,90,23,,48,dual abs,optional,no,5000,user,maxon HPJ-DT / HDT; peak 69-123 Nm; user $5k HDT base
HDT DT65M-WGU25,maxon,harmonic,,229,3.4,114,100,12,,48,dual abs,optional,no,5000,user,maxon HPJ-DT / HDT; peak 127-229 Nm; user $5k HDT base
HDT DT85M-WGA32,maxon,harmonic,,261,5,146,107,16,,48,dual abs,optional,no,4500,user,maxon HPJ-DT / HDT; peak 151-261 Nm; lower-ratio 85-size vs DT85L; user ~10% under $5k 400Nm
HDT DT85L-WGU32,maxon,harmonic,,484,5.3,146,120,8.6,,48,dual abs,optional,no,5000,user,maxon HPJ-DT / HDT ~400 Nm class; catalog peak 281-484 Nm; user $5k for 400 Nm high-ratio
HDT DT85L-WGU32-low,maxon,harmonic,,281,5.3,146,120,29,,48,dual abs,optional,no,4500,user,same HDT 85L at low-ratio end of catalog (281 Nm / 3.0 rad/s); user ~10% cheaper than 400 Nm
HPJ RJ45,maxon,harmonic,,13,1.3,70,104,24,,48,dual abs,optional,optional,5000,estimate,"maxon HPJ RJ catalog Mar 2024; peak 5-13 Nm / 2.5-7.1 rad/s; optional controller torque sensor brake; 48V class typical; quote-only; Cost_USD estimate: maxon HPJ RJ; same $5k HDT base, small size"
HPJ RJ60,maxon,harmonic,,65,1.8,80,115,29,,48,dual abs,optional,optional,5000,estimate,maxon HPJ RJ; peak 25-65 Nm / 3.0-7.2 rad/s; 48V class typical; quote-only; Cost_USD estimate: maxon HPJ RJ; user HDT base
HPJ RJ90,maxon,harmonic,,122,3,110,113,16,,48,dual abs,optional,optional,5500,estimate,maxon HPJ RJ; peak 39-122 Nm / 1.7-5.1 rad/s; 48V class typical; quote-only; Cost_USD estimate: maxon HPJ RJ mid size; modest step over HDT $5k
HPJ RJ90L,maxon,harmonic,,260,3.4,110,125,9.5,,48,dual abs,optional,optional,5500,estimate,maxon HPJ RJ 90 L; peak 83-260 Nm / 1.0-3.2 rad/s; 48V class typical; quote-only; Cost_USD estimate: maxon HPJ RJ 90 L
HPJ RJ110,maxon,harmonic,,350,3.7,110,70,32,,48,dual abs,optional,optional,6000,estimate,maxon HPJ RJ; peak 175-350 Nm / 3.4-6.9 rad/s; 70 mm package; 48V class typical; quote-only; Cost_USD estimate: maxon HPJ RJ 350 Nm; still near HDT
KAH-14C,Leaderdrive,harmonic,13.5,34,1.3,,,36,101,48,abs 19-24bit,optional,no,1800,estimate,Leaderdrive KAH; 48V winding rated 35.6 rpm; start/stop 34 Nm avg 13.5 Nm; also 110/220 VAC; pairs with KDE servo; Cost_USD estimate: Leaderdrive vs Honpine RE60 ~$1630; no integrated drive
KAH-17C,Leaderdrive,harmonic,49,66,1.8,,,31,101,48,abs 19-24bit,optional,no,2200,estimate,Leaderdrive KAH; 48V winding rated 30.7 rpm; start/stop 66 Nm avg 49 Nm; Cost_USD estimate: Leaderdrive; Honpine RE80 ~$1800 analog plus brand
KAH-20C,Leaderdrive,harmonic,61,102,2.2,,,31,101,48,abs 19-24bit,optional,no,2600,estimate,Leaderdrive KAH; 48V winding rated 30.7 rpm; start/stop 102 Nm avg 61 Nm; Cost_USD estimate: Leaderdrive industrial harmonic
KAH-25C,Leaderdrive,harmonic,133,194,3.2,,,26,101,48,abs 19-24bit,optional,no,3200,estimate,Leaderdrive KAH; 48V winding rated 25.7 rpm; start/stop 194 Nm avg 133 Nm; Cost_USD estimate: Leaderdrive 194 Nm start/stop
KAH-32C,Leaderdrive,harmonic,267,411,6.2,,,21,101,48,abs 19-24bit,optional,no,4000,estimate,"Leaderdrive KAH; 48V winding rated 20.8 rpm; start/stop 411 Nm avg 267 Nm; Cost_USD estimate: Leaderdrive 411 Nm; below HD SHA, above Honpine"
KAH-40C,Leaderdrive,harmonic,460,702,9.1,,,15,101,48,abs 19-24bit,optional,no,4800,estimate,Leaderdrive KAH; 48V winding rated 14.9 rpm; start/stop 702 Nm avg 460 Nm; Cost_USD estimate: Leaderdrive 702 Nm; near maxon HDT
WPM-42,Nidec,harmonic,10,20,0.545,90,39,60,50,36,hall+inc,no,no,2500,estimate,"Nidec FLEXWAVE ultra-flat actuator; 36 VDC BLDC; lost motion <=1 arcmin; Cost_USD estimate: Nidec FLEXWAVE motor+gear, JP, no driver"
WPM-50,Nidec,harmonic,24,51,0.86,90,41.5,37,81,36,hall+inc,no,no,3200,estimate,Nidec FLEXWAVE ultra-flat actuator; 36 VDC; Cost_USD estimate: Nidec ultra-flat 51 Nm
WPM-63,Nidec,harmonic,47,110,1.6,110,44.5,36,101,36,hall+inc,no,no,4000,estimate,Nidec FLEXWAVE ultra-flat actuator; 36 VDC; peak 110 Nm; Cost_USD estimate: Nidec ultra-flat 110 Nm
DRA25-E-100,HIWIN,harmonic,,157,3.3,107,,30,100,48,23bit abs,optional,yes,4500,estimate,HIWIN DATORKER DRA complete rotary actuator; 400 W class; peak 157 Nm at 100:1; mass 3.3 kg (3.9 kg other config); repeatability +/-6 arc-sec; Cost_USD estimate: HIWIN complete DRA with drive; below HD FHA-25
DRA32-E-80,HIWIN,harmonic,,304,6.9,138,,37,80,48,23bit abs,optional,yes,6500,estimate,HIWIN DATORKER DRA; 750 W class; peak 304 Nm at 80:1; mass 6.9 kg (7.6 kg other config); Cost_USD estimate: HIWIN DRA 304 Nm with drive
ReBeL 80,igus,harmonic,2,3,0.33,80,60,10,50,24,output encoder,no,yes,494,listed,igus ReBeL gearbox kit; polymer strain wave; some pages list peak 2.5-3 Nm; igus.ee EUR 456.79 converted
ReBeL 105,igus,harmonic,10,12.5,1,105,62,10,50,24,output encoder,no,yes,771,listed,igus ReBeL gearbox kit; some EU pages list 15/20 Nm and 70:1; igus.ee EUR 713.45 converted
KA-58,Kinova,harmonic,3.6,6.8,0.357,58,,15,,24,abs+torque,no,yes,3300,listed,Kinova KA-Series user guide; reichelt ~€3018; RS-485; 20.3 rpm no-load
KA-75+,Kinova,harmonic,12,30.5,0.57,75,,9.4,,24,abs+torque,no,yes,6400,listed,Kinova KA-Series user guide; reichelt ~€5844; 12.2 rpm no-load
HEJ 90-48-140,maxon,planetary,75,140,1.99,108,90,99,,48,abs,no,yes,7500,user,maxon HEJ 90-48-140 datasheet; 10.4 rad/s at 48V; 13 rad/s at 60V; IP67 EtherCAT; user $7500 HEJ base
HPJM-RE30-40-PRO-101,Honpine,harmonic,2.8,4.8,0.18,40,59.5,45,101,48,16bit abs,no,yes,1450,listed,Oz Robotics sale $1450; Honpine HPJM-PRO; 101:1 CAN no-brake listing; dual encoder/brake/EtherCAT cost extra
HPJM-RE40-52-PRO-101,Honpine,harmonic,6.5,8.9,0.3,52,60.9,40,101,48,16bit abs,no,yes,1430,listed,Oz Robotics $1430; Honpine HPJM-PRO 101:1
HPJM-RE50-60-PRO-101,Honpine,harmonic,9.6,13.5,0.42,60,61,37,101,48,16bit abs,no,yes,1530,listed,Oz Robotics ~$1530; Honpine catalog 峰值 13.5 Nm at 101:1
HPJM-RE60-70-PRO-101,Honpine,harmonic,30,49,,70,71.7,34,101,48,16bit abs,no,yes,1630,listed,Oz Robotics $1630; Honpine HPJM-PRO; mass not trusted in catalog OCR
HPJM-RE60-80-PRO-101,Honpine,harmonic,30,49,0.96,80,70.9,34,101,48,16bit abs,no,yes,1680,listed,Oz Robotics $1680; Honpine HPJM-PRO 101:1
HPJM-RE80-97-PRO-101,Honpine,harmonic,84,133,1.5,97,83.9,27,101,48,16bit abs,no,yes,1790,listed,Oz Robotics $1790; Honpine HPJM-PRO 101:1
HPJM-RE80-110-PRO-101,Honpine,harmonic,84,133,2.1,110,83.9,27,101,48,16bit abs,no,yes,1850,listed,Oz Robotics $1850; Honpine HPJM-PRO 101:1
HPJM-RE100-120-PRO-101,Honpine,harmonic,169,267,,120,99.5,22,101,48,16bit abs,no,yes,1900,listed,Oz Robotics $1900 listing; Honpine HPJM-PRO 101:1; mass not listed
HPJM-RE100-142-PRO-101,Honpine,harmonic,169,267,3.8,142,99.5,22,101,48,16bit abs,no,yes,1980,listed,Oz Robotics $1980; Honpine HPJM-PRO 101:1
